City,N_Records,N_Hospitals,N_CPT_Types,Mean_Price,Median_Price,Std_Dev,Min_Price,Max_Price,CV_Percent
Tarpon Springs,3850,3850,7,6584.828192693203,934.0,74655.69018701771,1.72550988,2476196.0,1133.7530456733668
Daytona Beach,1000,1000,7,3594.975,828.5,12087.686068676247,114.0,109757.0,336.2383902162393
PORT CHARLOTTE,896,896,7,2377.149151540179,126.895,7390.961397930585,0.0754799999999999,63261.27,310.9170239966603
Dunedin,2266,2266,7,1312.617952338923,350.32,3740.3557216662625,16.67,49022.16,284.9538751928092
Clearwater,1842,1842,7,1476.12993485342,448.09000000000003,4096.3094431581285,16.67,49022.16,277.50331095107106
Safety Harbor,1842,1842,7,1476.12993485342,448.09000000000003,4096.309443158129,16.67,49022.16,277.50331095107106
Petersburg,1842,1842,7,1476.1299348534203,448.09000000000003,4096.3094431581285,16.67,49022.16,277.503310951071
New Port Richey,3684,3684,7,1476.12993485342,448.09000000000003,4095.753294972393,16.67,49022.16,277.465634851386
BRADENTON,672,672,7,2499.2998384821426,485.775,6197.07144588691,19.074,56324.0,247.95230049910586
FT WALTON BEACH,478,478,7,2581.8260836820086,589.7215,6394.894433774784,28.355000000000004,46130.0,247.68881506746808
ENGLEWOOD,475,475,7,2953.7255548631583,315.4545,7302.0860161218125,14.99043,56324.0,247.21613029007722
TALLAHASSEE,669,669,7,2170.72828819133,719.4412500000001,5137.0149332140245,22.925,74181.0,236.64937528843052
SANFORD,386,386,7,3882.659075129533,1261.6,8011.026771220343,21.294,67412.0,206.32835941056916
Bartow,1128,1128,7,837.7021276595746,335.7,1713.302978358285,16.67,16239.44,204.52412877892763
Lake Placid,3950,3950,7,2323.1306329113922,974.0,4478.372060993381,24.0,30580.0,192.77314833479676
Palm Coast,4300,4300,7,1711.220465116279,742.5,3259.276723723356,22.0,23975.0,190.46503885178146
Tampa,9802,9802,7,1902.1848571720056,837.0,3586.1717292719477,35.0,30580.0,188.52908621108148
Tavares,4252,4252,7,2149.923974633255,871.0,4045.4294746411706,0.7125630000000001,38469.0,188.1661641236063
Wesley Chapel,3650,3650,7,2019.3553424657534,858.0,3793.7939926082513,36.0,30580.0,187.87154062621798
Zephyrhills,4050,4050,7,2160.4916049382714,941.0,4044.341877009352,36.0,30580.0,187.19544513689075
Orlando,1230,1230,7,6598.462801626017,2777.0,12328.17401552978,14.26,116654.0,186.83403068502298
Wauchula,1100,1100,7,3066.697272727273,1151.5,5540.685641323708,148.0,30580.0,180.67272862561586
New Smyrna Beach,3750,3750,7,1854.356,785.0,3241.7338437345993,29.0,45975.0,174.81723270691276
Inverness,228,228,7,5701.6267143421055,1589.35,9543.193867637148,63.65055,56324.0,167.3766864398858
Jacksonville,2353,2353,6,2055.6335786230343,758.4000000000001,3400.1162606088296,31.94,40119.615,165.40478302978477
Miami Beach,4649,4649,6,1507.3868036136803,677.36,2389.8531236869967,10.92,19682.52,158.542791933548
PENSACOLA,480,480,7,7919.443125000001,2826.0,11588.121755284015,466.2,59410.0,146.32495710086957
PANAMA CITY,205,205,7,7604.89871902439,4620.2300000000005,10120.665238812073,451.8,46130.0,133.08086817112041
Port Charlotte,1009,1009,5,637.2485332011893,381.48,821.4464411129263,14.26,6275.61,128.90519135233268
Middleburg,283,283,7,834.3481272084805,525.43,1052.112533143458,31.94,4786.0,126.099945434475
TRINITY,144,144,7,9032.35625,6000.0,11112.09934336347,519.65,56324.0,123.02547680582761
Joe,36,36,6,847.5122222222222,591.34,1010.833667009877,34.82,4518.9,119.27068902433255
BRANDON,283,283,7,7374.111381201413,4501.9132,8765.233457067734,519.65,56324.0,118.86494526530565
Melbourne,155,155,2,2221.8967096774195,1654.68,2155.310399088939,16.52,6218.92,97.00317704695878
HUDSON,24,24,1,381.05562000000003,276.9588,300.36885441186485,52.80335999999999,952.5312,78.82546238574433
BOYNTON BEACH,48,48,1,4635.62,4062.84,3545.572430922706,896.36,11177.0,76.48539852107606
MIAMI,14,14,1,11935.214285714286,10571.5,3650.692709369245,8342.0,20599.0,30.587575739958844
CORAL GABLES,1,1,1,6706.2,6706.2,,6706.2,6706.2,
